branch,attempts,succeeded,failed,cutoff,gpu_hours_succeeded,gpu_hours_failed,gpu_hours_cutoff,gpu_hours_total,cap_gpu_hours,remainder_gpu_hours
expanded_baseline,22,20,2,0,6.52891837351852,0.0,0.0,6.52891837351852,56,49.47108162648148
dagger,28,21,7,0,10.592824930416212,0.3163940208488041,0.0,10.909218951265014,48,37.09078104873498
successor_prediction,31,21,10,0,10.76357494559553,0.08755454321702322,0.0,10.851129488812553,64,53.14887051118745
curriculum_modality,13,6,4,3,4.167066693504651,0.11208055324024624,7.499440970818202,11.778588217563097,48,36.2214117824369
generalization_robustness,7,6,1,0,3.79833507431878,0.02060140351454417,0.0,3.818936477833324,32,28.181063522166674
second_backbone,20,10,10,0,3.633164075016975,2.397323028842608,0.0,6.030487103859584,52.11,46.079512896140415
transfer,14,12,2,0,3.599319179389212,0.0,0.0,3.599319179389212,24,20.400680820610788
recovery_reserve,0,0,0,0,0.0,0.0,0.0,0.0,11.89,11.89
TOTAL,135,96,36,3,43.08320327175988,2.933953549663226,7.499440970818202,53.516597792241306,336,282.4834022077587
