branch,panel,modality,arm,arm_class,episodes,failures,descriptive_only
generalization_robustness_v2,final,multimodal-state,random_valid,oracle_control,250,0,False
generalization_robustness_v2,final,text-state,exact_reference,reference,50,0,False
generalization_robustness_v2,final,text-state,learned_adapter,learned,50,6,False
generalization_robustness_v2,final,text-state,pretrained_base,base,50,50,False
generalization_robustness_v2,final,text-state,random_valid,oracle_control,250,0,False
generalization_robustness_v2,final,visual-state,exact_reference,reference,50,0,False
generalization_robustness_v2,final,visual-state,learned_adapter,learned,50,9,False
generalization_robustness_v2,final,visual-state,pretrained_base,base,50,50,False
generalization_robustness_v2,final,visual-state,random_valid,oracle_control,250,0,False
successor_prediction,development,multimodal-state,model_generated_successor,learned,3,3,True
successor_prediction,development,multimodal-state,trusted_successor,reference,3,0,True
successor_prediction,development,text-state,model_generated_successor,learned,3,3,True
successor_prediction,development,text-state,trusted_successor,reference,3,0,True
successor_prediction,development,visual-state,model_generated_successor,learned,3,3,True
successor_prediction,development,visual-state,trusted_successor,reference,3,0,True
successor_prediction,unseen,multimodal-state,model_generated_successor,learned,12,11,False
successor_prediction,unseen,multimodal-state,trusted_successor,reference,12,0,False
successor_prediction,unseen,text-state,model_generated_successor,learned,12,12,False
successor_prediction,unseen,text-state,trusted_successor,reference,12,0,False
successor_prediction,unseen,visual-state,model_generated_successor,learned,12,12,False
successor_prediction,unseen,visual-state,trusted_successor,reference,12,0,False
