task_id,modality,algorithm,arm,status,episode
matched-final/blocksworld-730060,multimodal-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_add_greedy-process_sft.json.gz
matched-final/blocksworld-730060,multimodal-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_add_greedy-random_valid.json.gz
matched-final/blocksworld-730060,multimodal-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__blocksworld-730060/best_first_add_greedy-exact_reference.json.gz
matched-final/ferry-780004,multimodal-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz
matched-final/ferry-780004,multimodal-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-process_sft.json.gz
matched-final/ferry-780004,multimodal-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-random_valid.json.gz
matched-final/ferry-780004,multimodal-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/bfs-exact_reference.json.gz
matched-final/ferry-780004,multimodal-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz
matched-final/ferry-780004,multimodal-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz
matched-final/ferry-780004,multimodal-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-random_valid.json.gz
matched-final/ferry-780004,multimodal-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_width-exact_reference.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_w3-process_sft.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_w3-random_valid.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_w3-exact_reference.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_greedy-process_sft.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_greedy-random_valid.json.gz
matched-final/ferry-780004,multimodal-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/multimodal-state/matched-final__ferry-780004/best_first_add_greedy-exact_reference.json.gz
