algorithm,arm,metric,left,right,complete_paired_coverage,difference,lower,upper,whole_problems
best_first_add_greedy,pretrained_base,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,process_sft,success,text-state,visual-state,True,-0.3333333333333333,-1.0,0.0,3
best_first_add_greedy,process_sft,all_operations_valid,text-state,visual-state,True,-0.3333333333333333,-1.0,0.0,3
best_first_add_greedy,process_sft,decisions,text-state,visual-state,True,-2.0,-6.0,0.0,3
best_first_add_greedy,process_sft,expansions,text-state,visual-state,True,-1.3333333333333333,-4.0,0.0,3
best_first_add_greedy,process_sft,success,text-state,multimodal-state,True,-0.3333333333333333,-1.0,0.0,3
best_first_add_greedy,process_sft,all_operations_valid,text-state,multimodal-state,True,-0.3333333333333333,-1.0,0.0,3
best_first_add_greedy,process_sft,decisions,text-state,multimodal-state,True,-2.0,-6.0,0.0,3
best_first_add_greedy,process_sft,expansions,text-state,multimodal-state,True,-1.3333333333333333,-4.0,0.0,3
best_first_add_greedy,process_sft,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,process_sft,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,process_sft,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,process_sft,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,success,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,random_valid,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,success,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_add_greedy,exact_reference,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
